customerID,gender,is_senior,Partner,Dependents,tenure,tenure_group,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,contract_rank,PaperlessBilling,PaymentMethod,MonthlyCharges,monthly_charge_group,TotalCharges,risk_group,Churn
9314-IJWSQ,Female,Non-Senior,Yes,Yes,14,1-2 years,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,84.8,70+,1203.9,Medium Risk,No
0661-XEYAN,Female,Senior,No,No,1,0-1 year,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Yes,Mailed check,25.8,1-35,25.8,Low Risk,Yes
5799-JRCZO,Female,Non-Senior,No,Yes,63,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Credit card (automatic),19.5,1-35,1215.1,Low Risk,No
1921-KYSAY,Female,Non-Senior,No,No,41,2-4 years,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,2,Yes,Electronic check,68.6,35-70,2877.05,Low Risk,No
6198-RTPMF,Female,Non-Senior,Yes,No,17,1-2 years,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,No,Electronic check,92.6,70+,1579.7,Medium Risk,No
2924-KHUVI,Male,Non-Senior,Yes,No,56,4+ years,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,2,Yes,Electronic check,100.55,70+,5514.95,Low Risk,No
1925-GMVBW,Female,Non-Senior,No,No,5,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Credit card (automatic),20.55,1-35,96.1,Low Risk,No
7881-EVUAD,Female,Non-Senior,No,No,2,0-1 year,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Yes,Electronic check,42.6,35-70,72.4,Low Risk,Yes
6184-DYUOB,Female,Non-Senior,Yes,No,3,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Yes,Mailed check,19.6,1-35,55.25,Low Risk,No
9207-ZPANB,Male,Non-Senior,No,No,37,2-4 years,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,2,No,Electronic check,67.45,35-70,2443.3,Low Risk,No
5766-XQXMQ,Female,Non-Senior,No,No,29,2-4 years,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,1,Yes,Bank transfer (automatic),68.85,35-70,1970.5,Low Risk,Yes
9327-QSDED,Male,Non-Senior,No,No,8,0-1 year,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,No,Mailed check,43.55,35-70,335.4,Low Risk,No
1656-DRSMG,Female,Non-Senior,No,No,63,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Yes,Credit card (automatic),109.85,70+,7002.95,Low Risk,No
3012-VFFMN,Female,Non-Senior,Yes,Yes,7,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.65,1-35,158.95,Low Risk,No
2984-AFWNC,Female,Non-Senior,No,No,3,0-1 year,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,No,Electronic check,95.4,70+,293.15,High Risk,No
0640-YJTPY,Male,Non-Senior,Yes,Yes,72,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),21.0,1-35,1493.75,Low Risk,No
8096-LOIST,Female,Non-Senior,No,No,19,1-2 years,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,Yes,Electronic check,56.2,35-70,1093.4,Medium Risk,No
9764-REAFF,Female,Non-Senior,Yes,No,59,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),18.4,1-35,1057.85,Low Risk,No
3703-VAVCL,Male,Non-Senior,Yes,Yes,2,0-1 year,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,No,Credit card (automatic),90.0,70+,190.05,High Risk,Yes
7107-UBYKY,Female,Non-Senior,Yes,Yes,35,2-4 years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Yes,Electronic check,25.75,1-35,882.55,Low Risk,No
4881-GQJTW,Male,Non-Senior,No,No,14,1-2 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Credit card (automatic),19.6,1-35,300.4,Medium Risk,No
8519-QJGJD,Female,Non-Senior,No,No,14,1-2 years,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,No,Electronic check,75.35,70+,1025.95,Medium Risk,Yes
7876-DNYAP,Female,Non-Senior,Yes,Yes,69,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Credit card (automatic),19.8,1-35,1436.95,Low Risk,No
7905-NJMXS,Male,Senior,Yes,No,7,0-1 year,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,1,No,Electronic check,64.2,35-70,475.0,Low Risk,No
2882-WDTBA,Male,Non-Senior,Yes,Yes,69,4+ years,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,3,Yes,Bank transfer (automatic),75.75,70+,5388.15,Low Risk,No
2091-GPPIQ,Female,Non-Senior,Yes,Yes,72,4+ years,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,3,Yes,Electronic check,78.95,70+,5730.15,Low Risk,No
6326-MTTXK,Male,Non-Senior,No,No,8,0-1 year,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,No,Electronic check,100.85,70+,819.55,High Risk,Yes
5071-FBJFS,Female,Non-Senior,Yes,Yes,4,0-1 year,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,No,Electronic check,50.3,35-70,217.1,Low Risk,No
2796-UUZZO,Male,Non-Senior,Yes,Yes,63,4+ years,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Yes,Credit card (automatic),80.3,70+,4896.35,Low Risk,No
2429-AYKKO,Male,Non-Senior,No,No,72,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),19.85,1-35,1434.1,Low Risk,No
9798-OPFEM,Female,Non-Senior,No,No,46,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,Yes,Electronic check,21.1,1-35,937.1,Low Risk,No
0330-IVZHA,Female,Non-Senior,Yes,No,5,0-1 year,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,No,Electronic check,69.95,35-70,330.15,Low Risk,Yes
3794-NFNCH,Male,Non-Senior,Yes,No,30,2-4 years,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Yes,Mailed check,50.0,35-70,1474.9,Low Risk,No
5193-QLVZB,Male,Non-Senior,No,No,63,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),104.75,70+,6536.5,Low Risk,No
7114-AEOZE,Female,Non-Senior,No,No,60,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),19.85,1-35,1128.1,Low Risk,No
2886-KEFUM,Female,Non-Senior,Yes,No,63,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,2,Yes,Electronic check,107.5,70+,6873.75,Low Risk,Yes
5522-NYKPB,Male,Non-Senior,Yes,Yes,25,2-4 years,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,No,Electronic check,85.9,70+,2199.05,Low Risk,No
4237-RLAQD,Male,Non-Senior,No,No,1,0-1 year,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,Yes,Mailed check,45.85,35-70,45.85,Low Risk,Yes
9957-YODKZ,Male,Senior,Yes,No,6,0-1 year,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Yes,Electronic check,80.8,70+,457.1,High Risk,No
6518-KZXCB,Male,Non-Senior,No,No,22,1-2 years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Mailed check,25.25,1-35,566.5,Medium Risk,No
2245-ADZFJ,Female,Non-Senior,Yes,Yes,31,2-4 years,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,3,No,Bank transfer (automatic),80.55,70+,2471.6,Low Risk,No
7776-QGYJC,Female,Non-Senior,Yes,Yes,39,2-4 years,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Yes,Bank transfer (automatic),81.5,70+,3107.3,Low Risk,No
9313-QOLTZ,Male,Non-Senior,No,No,26,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.9,1-35,518.3,Low Risk,No
9651-GTSAQ,Female,Non-Senior,Yes,No,53,4+ years,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,2,Yes,Bank transfer (automatic),106.1,70+,5769.75,Low Risk,Yes
3186-BAXNB,Female,Non-Senior,No,No,1,0-1 year,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,1,No,Electronic check,91.7,70+,91.7,High Risk,Yes
4672-FOTSD,Male,Non-Senior,No,No,12,0-1 year,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,1,Yes,Electronic check,67.25,35-70,832.3,Medium Risk,No
0637-YLETY,Female,Non-Senior,No,No,16,1-2 years,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Yes,Credit card (automatic),95.6,70+,1555.65,Medium Risk,Yes
9818-XQCUV,Female,Non-Senior,No,No,2,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.35,1-35,45.3,Low Risk,No
7338-ERIVA,Male,Non-Senior,No,Yes,39,2-4 years,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,2,No,Bank transfer (automatic),45.05,35-70,1790.6,Low Risk,No
1157-BQCUW,Male,Non-Senior,No,No,1,0-1 year,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,74.95,70+,74.95,High Risk,Yes
8259-NFJTV,Female,Non-Senior,Yes,Yes,7,0-1 year,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,No,Mailed check,34.65,1-35,246.6,Low Risk,No
3223-DWFIO,Male,Senior,No,No,4,0-1 year,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,No,Electronic check,69.35,35-70,261.65,Low Risk,No
2660-EMUBI,Male,Senior,No,No,10,0-1 year,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,95.35,70+,898.35,High Risk,Yes
6968-GMKPR,Female,Non-Senior,No,No,55,4+ years,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Yes,Electronic check,81.55,70+,4509.5,Low Risk,No
4751-ERMAN,Male,Non-Senior,Yes,Yes,72,4+ years,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),75.4,70+,5480.25,Low Risk,No
1436-ZMJAN,Female,Non-Senior,Yes,No,10,0-1 year,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Yes,Credit card (automatic),67.8,35-70,653.15,Low Risk,No
3292-PBZEJ,Male,Senior,No,No,11,0-1 year,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Yes,Electronic check,111.4,70+,1183.05,High Risk,No
0799-DDIHE,Female,Non-Senior,Yes,Yes,15,1-2 years,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,No,Electronic check,46.3,35-70,639.45,Medium Risk,No
3070-FNFZQ,Female,Non-Senior,Yes,Yes,23,1-2 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),20.4,1-35,478.75,Medium Risk,No
2812-SFXMJ,Male,Non-Senior,No,Yes,1,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.05,1-35,20.05,Low Risk,No
7675-OZCZG,Female,Senior,No,No,3,0-1 year,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,No,Electronic check,45.0,35-70,127.1,Low Risk,Yes
5014-WUQMG,Male,Non-Senior,Yes,Yes,47,2-4 years,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,2,Yes,Electronic check,96.1,70+,4391.45,Low Risk,No
5312-TSZVC,Female,Non-Senior,No,Yes,15,1-2 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,No,Mailed check,19.65,1-35,270.6,Medium Risk,No
2003-CKLOR,Male,Non-Senior,No,No,66,4+ years,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,No,Electronic check,99.5,70+,6710.5,Low Risk,Yes
0993-OSGPT,Female,Senior,Yes,No,68,4+ years,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,2,Yes,Bank transfer (automatic),60.65,35-70,3975.9,Low Risk,No
9254-RBFON,Female,Non-Senior,Yes,Yes,17,1-2 years,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,2,No,Bank transfer (automatic),98.6,70+,1704.95,Medium Risk,Yes
1205-WNWPJ,Female,Non-Senior,No,No,7,0-1 year,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,1,Yes,Mailed check,59.5,35-70,415.95,Low Risk,Yes
9391-EOYLI,Male,Senior,Yes,No,12,0-1 year,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Yes,Electronic check,80.45,70+,950.2,Medium Risk,Yes
7108-DGVUU,Female,Senior,Yes,No,21,1-2 years,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,2,No,Bank transfer (automatic),71.7,70+,1497.05,Medium Risk,No
2782-JEEBU,Male,Non-Senior,No,No,21,1-2 years,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Yes,Mailed check,36.0,35-70,780.15,Medium Risk,No
5127-BZENZ,Female,Non-Senior,Yes,Yes,56,4+ years,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,2,No,Bank transfer (automatic),65.2,35-70,3512.15,Low Risk,No
2720-FVBQP,Female,Non-Senior,Yes,Yes,6,0-1 year,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Yes,Credit card (automatic),48.95,35-70,273.25,Low Risk,No
9906-NHHVC,Female,Senior,No,No,65,4+ years,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),53.5,35-70,3517.9,Low Risk,No
4522-XRWWI,Male,Non-Senior,Yes,No,42,2-4 years,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,2,No,Credit card (automatic),80.45,70+,3375.9,Low Risk,No
3766-EJLFL,Female,Non-Senior,Yes,Yes,68,4+ years,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),109.05,70+,7508.55,Low Risk,No
5939-SXWHM,Male,Non-Senior,Yes,Yes,48,2-4 years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),26.3,1-35,1245.05,Low Risk,No
8152-UOBNY,Female,Senior,No,No,50,4+ years,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,2,Yes,Electronic check,106.8,70+,5347.95,Low Risk,No
7351-KYHQH,Female,Senior,No,No,7,0-1 year,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,1,Yes,Electronic check,64.95,35-70,493.65,Low Risk,No
7643-RCHXS,Female,Non-Senior,Yes,Yes,63,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Electronic check,19.35,1-35,1263.85,Low Risk,No
8246-SHFGA,Male,Non-Senior,No,No,17,1-2 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Credit card (automatic),21.1,1-35,385.55,Medium Risk,No
8387-MOJJT,Female,Non-Senior,Yes,Yes,42,2-4 years,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Yes,Credit card (automatic),77.95,70+,3384.0,Low Risk,Yes
0620-XEFWH,Male,Non-Senior,Yes,Yes,4,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,18.85,1-35,84.2,Low Risk,No
6485-QXWWE,Female,Non-Senior,No,Yes,62,4+ years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),26.0,1-35,1638.7,Low Risk,No
2761-OCIAX,Male,Senior,No,No,2,0-1 year,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Yes,Electronic check,74.7,70+,165.4,High Risk,Yes
7321-VGNKU,Female,Non-Senior,Yes,No,2,0-1 year,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,70.35,70+,120.25,High Risk,No
5327-CNLUQ,Male,Non-Senior,Yes,No,48,2-4 years,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,3,Yes,Bank transfer (automatic),96.9,70+,4473.45,Low Risk,No
7552-KEYGT,Male,Non-Senior,Yes,No,27,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),19.55,1-35,520.55,Low Risk,No
5816-JMLGY,Female,Non-Senior,Yes,Yes,70,4+ years,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),80.4,70+,5717.85,Low Risk,No
3068-OMWZA,Male,Senior,No,No,1,0-1 year,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Yes,Electronic check,88.8,70+,88.8,High Risk,Yes
2927-QRRQV,Male,Non-Senior,Yes,No,46,2-4 years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,2,Yes,Electronic check,94.65,70+,4312.5,Low Risk,No
6032-KRXXO,Male,Non-Senior,No,No,30,2-4 years,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,90.25,70+,2755.35,Low Risk,Yes
7459-RRWQZ,Female,Non-Senior,No,No,15,1-2 years,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Yes,Bank transfer (automatic),64.65,35-70,994.55,Medium Risk,Yes
6265-SXWBU,Male,Non-Senior,Yes,Yes,69,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,2,No,Credit card (automatic),95.75,70+,6511.25,Low Risk,No
7941-RCJOW,Male,Non-Senior,No,No,65,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,Yes,Credit card (automatic),19.55,1-35,1218.65,Low Risk,No
6374-NTQLP,Male,Senior,Yes,Yes,72,4+ years,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,3,Yes,Credit card (automatic),104.1,70+,7447.7,Low Risk,No
4154-AQUGT,Male,Senior,Yes,No,13,1-2 years,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Yes,Bank transfer (automatic),89.05,70+,1169.35,Medium Risk,Yes
2387-KDZQY,Male,Non-Senior,No,No,17,1-2 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,Yes,Mailed check,20.1,1-35,279.5,Medium Risk,No
3584-WKTTW,Male,Non-Senior,Yes,No,51,4+ years,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,2,Yes,Electronic check,111.55,70+,5720.35,Low Risk,No
3399-BMLVW,Male,Non-Senior,Yes,Yes,51,4+ years,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,3,No,Credit card (automatic),60.5,35-70,3121.45,Low Risk,No
1971-DTCZB,Female,Non-Senior,Yes,No,72,4+ years,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),90.95,70+,6468.6,Low Risk,No
3092-IGHWF,Male,Non-Senior,Yes,Yes,67,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,2,No,Electronic check,87.4,70+,5918.8,Low Risk,Yes
3374-PZLXD,Male,Non-Senior,No,No,34,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,19.7,1-35,675.6,Low Risk,No
3813-DHBBB,Male,Non-Senior,Yes,No,67,4+ years,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,3,Yes,Bank transfer (automatic),50.95,35-70,3521.7,Low Risk,No
2812-REYAT,Female,Non-Senior,Yes,No,49,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,Yes,Bank transfer (automatic),20.05,1-35,923.1,Low Risk,No
6518-PPLMZ,Male,Non-Senior,Yes,Yes,53,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,Yes,Mailed check,19.4,1-35,1110.35,Low Risk,No
4939-KYYPY,Male,Non-Senior,No,No,27,2-4 years,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,1,No,Electronic check,59.45,35-70,1611.65,Low Risk,No
8017-LXHFA,Female,Senior,No,No,23,1-2 years,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,94.75,70+,2293.6,Medium Risk,Yes
5930-GBIWP,Male,Non-Senior,No,No,69,4+ years,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,3,Yes,Credit card (automatic),81.5,70+,5553.25,Low Risk,No
6022-KOUQO,Female,Non-Senior,Yes,Yes,2,0-1 year,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,1,No,Bank transfer (automatic),29.05,1-35,44.75,Low Risk,No
6352-TWCAU,Female,Non-Senior,No,No,35,2-4 years,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,86.45,70+,3029.1,Low Risk,Yes
2361-UPSND,Female,Non-Senior,Yes,No,46,2-4 years,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,2,No,Mailed check,70.6,70+,3231.05,Low Risk,No
6035-RIIOM,Female,Non-Senior,No,No,54,4+ years,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),97.2,70+,5129.45,Low Risk,No
2929-QNSRW,Female,Non-Senior,Yes,No,56,4+ years,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,2,Yes,Electronic check,98.25,70+,5508.35,Low Risk,Yes
1262-OPMFY,Female,Non-Senior,Yes,No,9,0-1 year,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Yes,Bank transfer (automatic),75.75,70+,655.9,High Risk,Yes
9504-DSHWM,Male,Non-Senior,No,No,20,1-2 years,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,1,No,Bank transfer (automatic),59.2,35-70,1191.2,Medium Risk,No
5035-BVCXS,Male,Non-Senior,No,No,11,0-1 year,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Yes,Mailed check,75.9,70+,866.4,High Risk,No
6267-DCFFZ,Female,Senior,Yes,No,30,2-4 years,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,90.05,70+,2627.2,Low Risk,No
3533-UVMOM,Male,Non-Senior,Yes,No,68,4+ years,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,3,No,Bank transfer (automatic),70.95,70+,4741.45,Low Risk,No
2439-LYPMQ,Male,Senior,Yes,No,38,2-4 years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,102.6,70+,4009.2,Low Risk,No
4248-QPAVC,Female,Senior,Yes,No,17,1-2 years,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Yes,Bank transfer (automatic),85.35,70+,1463.45,Medium Risk,Yes
1899-VXWXM,Male,Non-Senior,No,No,48,2-4 years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,2,Yes,Credit card (automatic),106.1,70+,5082.8,Low Risk,Yes
1478-VPOAD,Female,Non-Senior,No,No,1,0-1 year,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,No,Electronic check,43.8,35-70,43.8,Low Risk,No
9995-HOTOH,Male,Non-Senior,Yes,Yes,63,4+ years,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,3,No,Electronic check,59.0,35-70,3707.6,Low Risk,No
2988-PLAHS,Female,Non-Senior,No,No,3,0-1 year,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,2,Yes,Electronic check,69.95,35-70,220.45,Low Risk,No
1371-OJCEK,Female,Non-Senior,No,No,48,2-4 years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,No,Bank transfer (automatic),24.35,1-35,1133.7,Low Risk,No
4999-IEZLT,Male,Non-Senior,No,No,66,4+ years,No,No phone service,DSL,No,No,No,Yes,No,No,One year,2,No,Credit card (automatic),29.45,1-35,1983.15,Low Risk,No
8883-ANODQ,Female,Non-Senior,Yes,Yes,68,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,3,Yes,Credit card (automatic),84.4,70+,5746.75,Low Risk,No
4690-LLKUA,Male,Senior,No,No,17,1-2 years,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,45.05,35-70,770.6,Medium Risk,Yes
2351-RRBUE,Female,Non-Senior,Yes,Yes,7,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,No,Mailed check,20.65,1-35,134.05,Low Risk,No
5980-BDHPY,Male,Non-Senior,Yes,No,72,4+ years,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),87.1,70+,6230.1,Low Risk,No
1498-DQNRX,Female,Non-Senior,Yes,No,29,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,19.85,1-35,573.05,Low Risk,No
9469-WEJBT,Male,Non-Senior,Yes,No,37,2-4 years,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,1,Yes,Electronic check,90.35,70+,3419.3,Low Risk,No
3331-HQDTW,Female,Non-Senior,No,No,34,2-4 years,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Yes,Mailed check,109.8,70+,3587.25,Low Risk,Yes
9490-DFPMD,Female,Senior,No,No,42,2-4 years,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,84.65,70+,3541.35,Low Risk,Yes
